year,hires,terminations,net_changes,net_change_percent
2000,211,0,211,100.00
2001,1082,0,1082,100.00
2002,1012,0,1012,100.00
2003,1088,0,1088,100.00
2004,1087,0,1087,100.00
2005,1038,0,1038,100.00
2006,1069,0,1069,100.00
2007,1058,0,1058,100.00
2008,1061,0,1061,100.00
2009,1094,0,1094,100.00
2010,1050,0,1050,100.00
2011,1057,0,1057,100.00
2012,1059,0,1059,100.00
2013,1042,0,1042,100.00
2014,1014,0,1014,100.00
2015,1011,0,1011,100.00
2016,1076,0,1076,100.00
2017,1043,0,1043,100.00
2018,1090,0,1090,100.00
2019,1038,0,1038,100.00
2020,967,0,967,100.00
